"","TCARI","NDSVI","NDI5","ADL"
"1",0.204569500952665,0.332973994230369,-0.14358666853486,15.98
"2",0.164586303530173,0.381784289484852,-0.166864934580404,16.82
"3",0.137189905273548,0.290148795079583,-0.0634737615238246,9.21
"4",0.15923057763232,0.391663311025902,-0.149386344851499,8.8
"5",0.161606435240312,0.288119094633243,-0.131366777252176,10.27
"6",0.135274082657832,0.370071359429027,-0.17858346380723,11.92
"7",0.119560561352999,0.303618548995991,-0.129909681266927,10.46
"8",0.128462773249404,0.329097501202796,-0.186036315172452,9.59
"9",0.144997856312156,0.352486413670308,-0.156727382371125,11.07
"10",0.205525250014769,0.27248687322956,-0.120162681146063,10.03
"11",0.196769457972894,0.346703110406991,-0.133740971461932,17.09
"12",0.172325189920448,0.322751240397689,-0.167742100662117,16.69
"13",0.119616073473525,0.339369235001073,-0.174818516425817,16.69
"14",0.169452829319063,0.271921471891734,-0.103029414945865,9.41
"15",0.186019705350235,0.321776647605169,-0.0966685324317346,13.06
"16",0.133547359023345,0.273872842244418,-0.144780362813234,10.56
"17",0.119631083252893,0.322750908546962,-0.1723665782915,12.5
"18",0.12355195665677,0.282744164722935,-0.154783418355659,10.9
"19",0.113036317409548,0.318608746367816,-0.204841629571219,9.88
"20",0.144005596789562,0.313960981605193,-0.144060069654406,11.11
"21",0.145028650565375,0.268053827329516,-0.137452678467684,9.67
"22",0.188964382422525,0.307089569800083,-0.13135567379439,16.86
"23",0.151870612716325,0.32177402146469,-0.185036809365144,17.61
"24",0.099162511150263,0.291500048720691,-0.16942277766392,16.85
"25",0.132297849195948,0.256334040520455,-0.121591550180262,9.63
"26",0.162578304044877,0.341286185368096,-0.126011819467236,11.42
"27",0.0991502867803977,0.271721305750363,-0.166253836792671,9.95
"28",0.125459868295729,0.318843103967937,-0.169440882828899,14.12
"29",0.104017547545239,0.282684884117645,-0.168462143586579,11.65
"30",0.0961603790602701,0.330811988386519,-0.225329462021403,10.83
"31",0.144038838556746,0.281498088471998,-0.130331718934706,11.29
"32",0.126214557905513,0.262228434288622,-0.14622947163658,9.76
"33",0.168433779475484,0.320803868558534,-0.164553966927881,18.26
