DFI,BNDVI,CRC,GNDVI,GRCI,IPVI,NDI5,NDI7,NDSVI,NDTI,NDVI,RVI2,RVI3,SNDVI,SRI,TCARI,VIgreen,MS,MM,MAT,CBW,NDF,ADF,ADL,SMO,SMS,Site,Mission
14.466985040986948,0.5673930914375761,0.5205062533861732,0.4052954059848586,0.2075405426890092,0.601099707863253,-0.14358666853485988,-0.0185460107726045,0.33297399423036855,0.12438720581771748,0.20219941572650615,0.639634962679909,1.513647910940771,0.22557124006972257,1.5820493560709674,0.20456950095266516,-0.2290443495219311,89.41,16.54,18.41,17.87,32.49,22.45,10.48,65.06,68.55,Dahra,1
10.808883286992554,0.5400190058579674,0.5243950479636563,0.39165595374257034,0.1860468820417264,0.6147401314061188,-0.1668649345804044,-0.07642774413557822,0.38178428948485177,0.09528755962877862,0.2294802628122378,0.705924420364184,1.5459079503384043,0.15918366535084819,1.3821730842521853,0.1645863035301727,-0.20190515607682705,91.59,8.49,10.21,24.74,50.4,37.28,16.34,36.4,43.34,C5L2,1
19.314725630816667,0.5907861252654568,0.4775043515110434,0.42873133358758897,0.21823809258776006,0.616709832969222,-0.06347376152382458,0.12786657290265915,0.2901487950795831,0.18706029491388165,0.23341966593844315,0.6459278900338022,1.6700103376401085,0.14934698824374135,1.3553004139394096,0.13718990527354794,-0.22117442208618876,91.03,8.44,11.85,26.71,49.61,34.57,14.84,42.99,48.76,C5L1,1
17.129726806381672,0.5282787653562793,0.5145744967829992,0.3856644823606225,0.1802061107499641,0.6255037342661333,-0.14938634485149882,0.002888606812532597,0.3916633110259022,0.18793166764541375,0.25100746853226646,0.7373059919459224,1.533177032325992,0.17675059425626835,1.4339207409927752,0.1592305776323198,-0.19969852426582774,90.75,10.92,10.12,22.5,38.57,30.87,12.29,60.72,65.34,C4L8,1
12.65486322791187,0.508350110845049,0.4522058938687286,0.3413342789580269,0.2026217906810233,0.5825689332561488,-0.13136677725217588,-0.032171125769916695,0.2881190946332431,0.09917712851270646,0.16513786651229773,0.6821177311478698,1.5087609330293932,0.16513385560022106,1.3925603166739156,0.16160643524031232,-0.1889700765450486,91.07,7.42,12.94,27.18,52.16,34.68,14.42,41.97,47.71,C4L3,1
10.309866372749966,0.5165432065501974,0.5107319765871797,0.3524795157409959,0.20358537034398638,0.595191741453198,-0.1785834638072295,-0.09481984758485566,0.3700713594290269,0.08248168082311895,0.19038348290639617,0.7099394982938982,1.4266847429408742,0.2022151269862479,1.5035779791781334,0.13527408265783228,-0.18018296206206036,91.38,10.69,12.16,23.3,49.3,28.69,10.98,47.51,52.94,C3L6,1
16.43721509568305,0.5342323282959763,0.47757336841400627,0.3642503367151091,0.21042578957564817,0.588377650631879,-0.12990968126692706,9.983333939873821E-4,0.30361854899599056,0.13424175847426417,0.17675530126375824,0.6670250765680034,1.45490761262703,0.22948879075699102,1.5978610476221657,0.11956056135299888,-0.17334916871668188,91.03,7.82,12.67,27.4,52.35,35.41,15.72,41.13,47.25,C3L5,1
11.219226471109579,0.5639547590673089,0.5131803775356207,0.3643213727478795,0.2504812283214372,0.5746743924989501,-0.18603631517245187,-0.10446523825992719,0.3290975012027958,0.08251740450089018,0.14934878499789953,0.6376817032109576,1.5096399784477266,0.1903759900999701,1.4726949329747505,0.12846277324940444,-0.16941574707936036,89.11,17.21,14.34,20.45,35.28,23.48,10.4,57.39,62.95,C3L1,1
10.062363643678196,0.5107290776405826,0.5029749457329764,0.3681704545188409,0.1762913608848212,0.6011090207087776,-0.1567273823711248,-0.07318011273281906,0.35248641367030764,0.08256031020367578,0.2022180414175559,0.6948290281969849,1.438455745830826,0.2510257188460124,1.668027274911289,0.14499785631215648,-0.15087169310758303,92.03,7.13,11.07,28.08,51.14,39.51,15.23,35.78,39.82,C2L7,1
19.783731357676025,0.5263594544713361,0.4501686673726869,0.3505597519449787,0.21435240652807297,0.5795895540002117,-0.12016268114606263,0.04007671873345458,0.2724868732295603,0.15969782272665603,0.15917910800042281,0.663584086786447,1.560506033139495,0.23342637991624982,1.6053265745811576,0.20552525001476948,-0.21538177939632874,89.51,13.48,15.71,25.07,39.89,22.82,7.86,60.46,66.61,C2L2,1
